               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10385,            0.027969,             0.02861,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0775,              0.0025,              0.0025
                   1,             0.07343,            0.031392,            0.020522,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.054016,           0.0050159,           0.0050159
                   2,            0.070003,            0.024974,             0.01142,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.030446,           0.0074459,           0.0074459
                   3,            0.068368,            0.022738,           0.0071657,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   4,            0.063795,             0.02295,           0.0050446,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   5,            0.059196,            0.021595,            0.004559,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                   6,             0.05136,            0.021256,           0.0041418,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                   7,            0.047164,            0.019089,           0.0030441,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   8,            0.046851,            0.019837,            0.002765,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                   9,            0.042805,             0.01968,           0.0029372,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  10,            0.041014,            0.017962,           0.0026581,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  11,            0.040039,            0.017754,           0.0026051,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  12,            0.038211,            0.018295,           0.0026422,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008185,            0.008185,            0.008185
                  13,            0.037459,            0.017633,           0.0024428,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  14,            0.036705,            0.017812,           0.0017525,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007855,            0.007855,            0.007855
                  15,            0.034241,            0.016881,           0.0021046,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00769,             0.00769,             0.00769
                  16,            0.033767,            0.018146,           0.0022658,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  17,            0.033052,            0.017729,            0.001989,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                  18,            0.033104,            0.017569,           0.0018631,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007195,            0.007195,            0.007195
                  19,            0.031647,            0.017327,           0.0019751,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  20,            0.031126,            0.016316,           0.0018852,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  21,            0.030341,            0.017077,           0.0013373,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                  22,            0.031652,            0.016827,            0.001682,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                  23,            0.028928,            0.016512,           0.0016126,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                  24,            0.028684,            0.017072,           0.0012571,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                  25,            0.027663,            0.016938,           0.0014549,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  26,            0.027812,            0.015361,           0.0013381,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                  27,            0.027869,            0.015421,           0.0010654,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
