               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09599,            0.025251,            0.025988,             0.59557,             0.53197,             0.55301,             0.25443,            0.068188,            0.015544,            0.015261,            0.070588,            0.003268,            0.003268
                   1,            0.065558,            0.023602,            0.012714,             0.46377,             0.80879,             0.53123,             0.17124,            0.059341,            0.012669,           0.0043673,            0.040479,           0.0064924,           0.0064924
                   2,            0.065386,            0.018972,           0.0069386,             0.53893,             0.67999,              0.6374,             0.23694,            0.060902,            0.010389,           0.0034753,             0.01026,           0.0096068,           0.0096068
                   3,            0.056619,            0.017324,           0.0055904,             0.57627,             0.67578,             0.70375,             0.41062,            0.053518,            0.010398,           0.0020106,            0.009505,            0.009505,            0.009505
                   4,            0.048004,             0.01662,           0.0044926,             0.75145,             0.83988,             0.87261,             0.53446,            0.031966,           0.0090243,           0.0017087,            0.009505,            0.009505,            0.009505
                   5,            0.041237,            0.015234,           0.0036366,              0.8638,             0.93689,             0.92608,             0.59004,            0.031023,           0.0082283,           0.0019398,             0.00934,             0.00934,             0.00934
                   6,            0.038273,            0.014328,           0.0032828,             0.84739,              0.9095,             0.90244,             0.62109,            0.028256,           0.0080064,           0.0022755,            0.009175,            0.009175,            0.009175
                   7,            0.036211,            0.014389,           0.0034607,              0.7829,              0.9319,             0.89952,             0.61256,            0.031817,           0.0078278,           0.0013126,             0.00901,             0.00901,             0.00901
                   8,            0.033984,            0.013583,           0.0027202,             0.85612,             0.96213,             0.89954,             0.60054,            0.028254,           0.0078026,            0.001518,            0.008845,            0.008845,            0.008845
                   9,            0.031455,            0.013181,           0.0029563,             0.88136,             0.95296,             0.93388,             0.67573,            0.026336,           0.0078742,           0.0015324,             0.00868,             0.00868,             0.00868
                  10,            0.030237,            0.013039,           0.0024732,             0.87214,             0.95443,             0.92198,             0.68847,            0.022328,           0.0074447,           0.0012042,            0.008515,            0.008515,            0.008515
                  11,            0.029747,             0.01295,           0.0022062,             0.86918,             0.95199,              0.9388,             0.68077,             0.02426,            0.007417,           0.0016753,             0.00835,             0.00835,             0.00835
                  12,             0.02846,            0.012931,           0.0021508,             0.87921,              0.9646,             0.91453,             0.69402,            0.020941,           0.0072403,           0.0012531,            0.008185,            0.008185,            0.008185
                  13,            0.027418,            0.011996,           0.0026115,             0.86927,             0.96762,             0.93156,             0.63319,            0.027864,           0.0074237,           0.0016962,             0.00802,             0.00802,             0.00802
                  14,            0.027361,            0.012174,           0.0018479,             0.88956,             0.92534,             0.92635,             0.71651,            0.021174,           0.0071427,          0.00090844,            0.007855,            0.007855,            0.007855
                  15,            0.026997,            0.012289,           0.0017365,             0.89379,               0.942,             0.92758,             0.72752,             0.02305,           0.0071847,          0.00082976,             0.00769,             0.00769,             0.00769
                  16,            0.025978,            0.012348,            0.001803,              0.8604,             0.97662,             0.92382,             0.70021,            0.021422,           0.0072041,          0.00092974,            0.007525,            0.007525,            0.007525
                  17,            0.025241,            0.012029,           0.0016992,             0.88653,             0.96151,             0.93477,             0.75711,            0.019341,           0.0069097,           0.0008331,             0.00736,             0.00736,             0.00736
                  18,            0.024451,              0.0119,            0.001799,             0.86341,             0.95095,             0.93259,             0.71114,              0.0224,           0.0073967,           0.0010188,            0.007195,            0.007195,            0.007195
                  19,            0.023623,            0.011677,           0.0018549,             0.87557,             0.95676,             0.93683,             0.74385,            0.019123,            0.007014,          0.00089045,             0.00703,             0.00703,             0.00703
                  20,            0.023418,             0.01198,           0.0016647,             0.88102,             0.94764,             0.93987,             0.76289,            0.018051,           0.0069202,          0.00094229,            0.006865,            0.006865,            0.006865
                  21,            0.022254,            0.011357,           0.0014709,             0.87357,             0.96992,             0.92858,             0.76493,            0.017553,           0.0068372,          0.00069014,              0.0067,              0.0067,              0.0067
                  22,            0.023103,            0.011446,           0.0012703,             0.88213,             0.96267,             0.93729,             0.75529,            0.017271,           0.0067749,          0.00082057,            0.006535,            0.006535,            0.006535
                  23,             0.02173,             0.01124,           0.0013145,              0.9179,               0.946,               0.936,             0.73726,            0.019488,           0.0068649,          0.00076017,             0.00637,             0.00637,             0.00637
                  24,            0.022244,            0.011639,           0.0012641,             0.89602,             0.95354,             0.94129,             0.78607,            0.017519,           0.0070108,          0.00069281,            0.006205,            0.006205,            0.006205
                  25,            0.020654,            0.011161,           0.0013379,             0.89866,             0.95138,             0.93676,             0.78418,            0.016378,           0.0070715,          0.00078332,             0.00604,             0.00604,             0.00604
                  26,            0.020407,             0.01115,           0.0011552,             0.90113,             0.95676,               0.932,             0.78192,            0.016371,            0.006911,          0.00067889,            0.005875,            0.005875,            0.005875
                  27,            0.020597,            0.010892,           0.0013077,             0.90318,             0.95276,             0.94196,             0.77414,             0.01726,           0.0069675,          0.00063988,             0.00571,             0.00571,             0.00571
                  28,            0.019945,            0.010569,           0.0011851,              0.8923,             0.95138,             0.93081,             0.77911,            0.016472,           0.0069205,          0.00083774,            0.005545,            0.005545,            0.005545
                  29,             0.02008,             0.01036,           0.0010578,             0.88956,             0.95695,             0.94373,             0.79847,             0.01626,           0.0066722,          0.00062221,             0.00538,             0.00538,             0.00538
                  30,            0.019361,            0.010794,           0.0011146,             0.91797,              0.9565,              0.9415,             0.78741,            0.015758,           0.0065228,          0.00061811,            0.005215,            0.005215,            0.005215
                  31,            0.019433,             0.01107,           0.0010817,             0.91515,             0.95138,              0.9371,             0.78843,            0.016349,            0.006643,          0.00058193,             0.00505,             0.00505,             0.00505
                  32,            0.018512,            0.010365,          0.00092243,             0.91083,             0.94755,             0.93627,             0.79848,            0.015615,           0.0066729,           0.0005771,            0.004885,            0.004885,            0.004885
                  33,            0.018378,            0.010566,          0.00095006,             0.91338,             0.95863,              0.9397,              0.7878,            0.016849,           0.0068254,          0.00058052,             0.00472,             0.00472,             0.00472
                  34,            0.018677,            0.010403,          0.00088568,             0.92006,             0.95058,             0.93833,             0.79748,              0.0157,           0.0066408,          0.00048612,            0.004555,            0.004555,            0.004555
                  35,            0.017932,            0.010545,          0.00095849,             0.92082,             0.95543,             0.94361,             0.80066,            0.015308,           0.0065899,           0.0005781,             0.00439,             0.00439,             0.00439
                  36,            0.017527,             0.01047,          0.00093934,             0.91273,             0.93363,             0.93502,             0.79827,            0.015365,           0.0065203,          0.00080177,            0.004225,            0.004225,            0.004225
                  37,            0.017324,            0.010048,          0.00077605,             0.92405,             0.94593,             0.94046,             0.81061,            0.015599,           0.0065762,          0.00041887,             0.00406,             0.00406,             0.00406
