               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10723,            0.026812,             0.02805,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0775,              0.0025,              0.0025
                   1,            0.075796,            0.031278,            0.019276,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.054016,           0.0050159,           0.0050159
                   2,            0.072316,            0.023874,            0.012055,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.030446,           0.0074459,           0.0074459
                   3,            0.068539,            0.022223,           0.0072869,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   4,            0.066137,            0.021199,           0.0054886,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   5,            0.058381,            0.020062,            0.004867,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                   6,            0.048986,            0.019515,           0.0042236,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                   7,            0.045911,            0.017643,           0.0035016,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   8,            0.042713,            0.017784,           0.0035596,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                   9,            0.041567,            0.017172,           0.0033293,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  10,            0.038961,            0.016197,           0.0024124,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  11,            0.035565,            0.016053,           0.0029441,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  12,            0.035734,            0.016044,           0.0021875,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008185,            0.008185,            0.008185
                  13,            0.033703,            0.015029,           0.0023812,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  14,            0.032514,            0.015961,           0.0021383,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007855,            0.007855,            0.007855
                  15,            0.032539,            0.014941,           0.0020577,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00769,             0.00769,             0.00769
                  16,            0.030861,            0.015488,           0.0018709,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  17,            0.029487,             0.01529,           0.0019563,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                  18,            0.028419,            0.015091,            0.001757,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007195,            0.007195,            0.007195
                  19,            0.028328,            0.014703,           0.0018281,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  20,            0.027729,            0.013438,           0.0019155,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  21,            0.027703,            0.014246,           0.0014481,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                  22,            0.026263,            0.013474,            0.001498,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                  23,            0.025357,            0.013618,           0.0013799,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                  24,            0.025481,            0.013764,           0.0014107,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                  25,             0.02421,               0.014,            0.001147,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  26,            0.024521,            0.012684,           0.0010922,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                  27,            0.023961,            0.012354,          0.00094291,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                  28,            0.022684,            0.013811,           0.0012568,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  29,            0.023444,            0.013013,           0.0013345,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                  30,            0.021934,            0.012209,             0.00119,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005215,            0.005215,            0.005215
                  31,            0.022674,            0.012772,           0.0015773,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  32,            0.021309,            0.013742,           0.0014896,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004885,            0.004885,            0.004885
                  33,            0.021331,            0.012189,           0.0010922,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                  34,            0.021483,            0.012679,           0.0011638,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                  35,            0.020854,            0.012529,           0.0012617,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00439,             0.00439,             0.00439
                  36,             0.02063,            0.012452,          0.00097226,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004225,            0.004225,            0.004225
                  37,            0.020434,            0.011516,           0.0010548,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  38,            0.020293,            0.012552,          0.00089124,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003895,            0.003895,            0.003895
