               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  43,            0.028148,            0.017807,           0.0065751,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  44,            0.028197,            0.018618,           0.0061318,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002905,            0.002905,            0.002905
                  45,             0.02782,            0.018916,           0.0062874,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00274,             0.00274,             0.00274
                  46,              0.0276,            0.018953,           0.0064749,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  47,             0.02732,            0.018678,            0.006989,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00241,             0.00241,             0.00241
                  48,            0.027592,            0.019626,             0.00632,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002245,            0.002245,            0.002245
                  49,            0.028084,             0.02011,           0.0066621,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  50,            0.028144,            0.020874,           0.0069469,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.001915,            0.001915,            0.001915
                  51,            0.028729,             0.02132,           0.0073018,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00175,             0.00175,             0.00175
                  52,            0.029561,            0.021322,           0.0072514,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                  53,            0.029302,            0.022348,           0.0084128,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00142,             0.00142,             0.00142
                  54,            0.029267,            0.023816,           0.0068403,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.001255,            0.001255,            0.001255
                  55,            0.029499,             0.02317,           0.0075666,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  56,            0.029348,            0.023232,           0.0079885,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.000925,            0.000925,            0.000925
                  57,            0.028608,            0.023239,           0.0083947,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00076,             0.00076,             0.00076
                  58,            0.028831,            0.023824,           0.0080911,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.000595,            0.000595,            0.000595
                  59,            0.028491,            0.025315,           0.0076057,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00043,             0.00043,             0.00043
